k141_145339_5	chemotaxis, protein
k141_354519_13	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
k141_434142_1	COG1234 Metal-dependent hydrolases of the beta-lactamase superfamily III
k141_282772_6	reverse transcriptase
k141_282772_7	reverse transcriptase
k141_141605_3	nucleic acid-binding protein contains PIN domain
k141_141605_5	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)
k141_141611_1	Methyl-accepting chemotaxis protein (MCP) signaling domain
k141_283043_2	TIGRFAM penicillin-binding protein, 1A
k141_142133_6	4Fe-4S single cluster domain
k141_142133_7	radical SAM protein
k141_355308_2	DNA segregation ATPase FtsK SpoIIIE
k141_355308_3	Belongs to the AlaDH PNT family
k141_355308_4	Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family
k141_355308_5	Peptidogalycan biosysnthesis/recognition
k141_355308_6	Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine
k141_355308_7	May conjugate Arg from its aminoacyl-tRNA to the N- termini of proteins containing an N-terminal aspartate or glutamate
k141_355308_8	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex
k141_355308_9	Belongs to the ClpA ClpB family
k141_355308_10	Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation
k141_66696_1	Pfam:Methyltransf_6
k141_66696_2	TonB dependent receptor
k141_66696_3	TonB dependent receptor
k141_66696_4	COG3119 Arylsulfatase A and related enzymes
k141_216054_8	Sulfatase-modifying factor enzyme 1
k141_216054_12	Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain
k141_216054_14	Resolvase, N terminal domain
k141_216054_17	PFAM Bacterial regulatory protein, arsR family
k141_216054_18	low molecular weight
k141_216054_19	TIGRFAM Arsenical-resistance protein
k141_216054_20	MarC family integral membrane protein
k141_216054_21	Belongs to the small heat shock protein (HSP20) family
k141_216054_22	DnaJ-class molecular chaperone
k141_216054_23	MerR HTH family regulatory protein
k141_216054_29	PFAM AMP-dependent synthetase
k141_216054_31	PFAM Transposase IS200 like
k141_143192_1	-
k141_143192_3	PFAM HNH endonuclease
k141_143192_4	endonuclease
k141_143192_6	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_143192_7	TIGRFAM proton-translocating NADH-quinone oxidoreductase, chain M
k141_143192_8	NADH-Ubiquinone oxidoreductase (complex I) chain 5 L domain protein
k141_143192_9	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_143192_10	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
k141_143192_11	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_143192_12	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone
k141_143192_13	TIGRFAM NADH-quinone oxidoreductase, chain G
k141_143192_14	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain
k141_143192_15	TIGRFAM NADH-quinone oxidoreductase, E subunit
k141_143192_16	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_143192_17	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_143192_18	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_143192_19	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_143192_20	PFAM Preprotein translocase SecG subunit
k141_143192_21	Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P)
k141_143192_22	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate
k141_143192_23	Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives
k141_143192_24	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
k141_143192_25	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit
k141_143192_26	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides
k141_143192_27	Belongs to the CarB family
k141_143192_28	Belongs to the CarA family
k141_143192_29	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate
k141_143192_30	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
k141_143192_31	Heat shock 70 kDa protein
k141_143192_32	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ
k141_143192_33	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons
k141_143192_34	May be involved in recombinational repair of damaged DNA
k141_143192_35	Belongs to the Fur family
k141_143192_36	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
k141_143192_37	Belongs to the UPF0125 (RnfH) family
k141_143192_38	Cyclase dehydrase
k141_143192_39	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
k141_143192_40	the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA
k141_143192_42	methyltransferase
k141_143192_43	Aminotransferase class-V
k141_143192_45	PFAM Phosphoadenosine phosphosulfate reductase
k141_143192_50	DNA-sulfur modification-associated
k141_143273_3	-
k141_143273_4	ATPase family associated with various cellular activities (AAA)
k141_143273_5	Ribulose bisphosphate carboxylase, small chain
k141_143273_12	-
k141_68170_2	Uncharacterized protein conserved in bacteria (DUF2065)
k141_68170_3	Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine
k141_68170_4	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
k141_68170_5	RNA-binding protein
k141_68170_6	Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes
k141_68170_9	-
k141_68170_18	Cell division inhibitor that blocks the formation of polar Z ring septums. Rapidly oscillates between the poles of the cell to destabilize FtsZ filaments that have formed before they mature into polar Z rings. Prevents FtsZ polymerization
k141_68170_19	Belongs to the ParA family
k141_68170_20	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell
k141_68170_21	Catalyzes the hydrolysis of N-succinyl-L,L- diaminopimelic acid (SDAP), forming succinate and LL-2,6- diaminoheptanedioate (DAP), an intermediate involved in the bacterial biosynthesis of lysine and meso-diaminopimelic acid, an essential component of bacterial cell walls
k141_68170_23	PFAM Aminotransferase class I and II
k141_68170_24	EamA-like transporter family
k141_68170_26	Modifies, by uridylylation and deuridylylation, the PII regulatory proteins (GlnB and homologs), in response to the nitrogen status of the cell that GlnD senses through the glutamine level. Under low glutamine levels, catalyzes the conversion of the PII proteins and UTP to PII-UMP and PPi, while under higher glutamine levels, GlnD hydrolyzes PII-UMP to PII and UMP (deuridylylation). Thus, controls uridylylation state and activity of the PII proteins, and plays an important role in the regulation of nitrogen
k141_68170_27	Metallopeptidase family M24
k141_68170_28	Belongs to the universal ribosomal protein uS2 family
k141_68170_29	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
k141_68170_30	Catalyzes the reversible phosphorylation of UMP to UDP
k141_68170_31	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
k141_68170_32	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with (2E,6E)-farnesyl diphosphate (E,E-FPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-undecaprenyl diphosphate (di-trans,octa-cis-UPP). UPP is the precursor of glycosyl carrier lipid in the biosynthesis of bacterial cell wall polysaccharide components such as peptidoglycan and lipopolysaccharide
